ID	ACCESSION-2	Start	End	strand	Chromosome
NCU09597	NCU09597.7	92166	93072	-	supercont10.2 of Neurospora crassa (OR74A)
NCU06155	NCU06155.7	2641492	2642023	-	supercont10.7 of Neurospora crassa (OR74A)
NCU00242	NCU00242.7	3147396	3149506	-	supercont10.3 of Neurospora crassa (OR74A)
NCU04120	NCU04120.7	4911296	4912791	+	supercont10.5 of Neurospora crassa (OR74A)
NCU09811	NCU09811.7	4126123	4128427	-	supercont10.1 of Neurospora crassa (OR74A)
NCU08579	NCU08579.7	3732488	3734801	-	supercont10.1 of Neurospora crassa (OR74A)
NCU05083	NCU05083.7	3800962	3802386	-	supercont10.6 of Neurospora crassa (OR74A)
NCU08045	NCU08045.7	4012852	4016222	-	supercont10.4 of Neurospora crassa (OR74A)
NCU04610	NCU04610.7	1512275	1515885	+	supercont10.5 of Neurospora crassa (OR74A)
NCU09877	NCU09877.7	6365381	6367076	+	supercont10.1 of Neurospora crassa (OR74A)
NCU00130	NCU00130.7	2730966	2732948	-	supercont10.3 of Neurospora crassa (OR74A)
NCU11970	NCU17284.7	136284	136976	-	supercont10.2 of Neurospora crassa (OR74A)
NCU05655	NCU05655.7	384222	386039	-	supercont10.3 of Neurospora crassa (OR74A)
NCU00178	NCU00178.7	2911359	2913300	-	supercont10.3 of Neurospora crassa (OR74A)
NCU05760	NCU05760.7	522468	523166	+	supercont10.7 of Neurospora crassa (OR74A)
NCU09251	NCU09251.7	9408320	9409321	+	supercont10.1 of Neurospora crassa (OR74A)
NCU09427	NCU09427.7	3096354	3098626	-	supercont10.7 of Neurospora crassa (OR74A)
NCU07249	NCU07249.7	6081633	6083258	-	supercont10.5 of Neurospora crassa (OR74A)
NCU01184	NCU01184.7	3162850	3164268	+	supercont10.5 of Neurospora crassa (OR74A)
NCU02233	NCU02233.7	1003629	1006364	+	supercont10.7 of Neurospora crassa (OR74A)
NCU05608	NCU05608.7	1341786	1349953	-	supercont10.6 of Neurospora crassa (OR74A)
NCU05589	NCU05589.7	1408578	1411909	+	supercont10.6 of Neurospora crassa (OR74A)
NCU00126	NCU00126.7	2711693	2713121	-	supercont10.3 of Neurospora crassa (OR74A)
NCU06170	NCU06170.7	2680677	2682311	+	supercont10.7 of Neurospora crassa (OR74A)
NCU06051	NCU06051.7	2281437	2283165	+	supercont10.7 of Neurospora crassa (OR74A)
NCU03056	NCU03056.7	4363389	4364654	-	supercont10.1 of Neurospora crassa (OR74A)
NCU02965	NCU02965.7	8555831	8558194	-	supercont10.1 of Neurospora crassa (OR74A)
NCU03020	NCU03020.7	8421881	8424841	-	supercont10.1 of Neurospora crassa (OR74A)
NCU06369	NCU06369.7	2760558	2762166	-	supercont10.4 of Neurospora crassa (OR74A)
NCU06655	NCU06655.7	4138450	4139966	-	supercont10.5 of Neurospora crassa (OR74A)
NCU02171	NCU02171.7	1008855	1010409	+	supercont10.1 of Neurospora crassa (OR74A)
NCU08610	NCU08610.7	9594479	9597312	-	supercont10.1 of Neurospora crassa (OR74A)
NCU03204	NCU03204.7	4900442	4902402	-	supercont10.1 of Neurospora crassa (OR74A)
NCU00937	NCU00937.7	6665356	6667780	-	supercont10.1 of Neurospora crassa (OR74A)
NCU01399	NCU01399.7	3902365	3903504	+	supercont10.5 of Neurospora crassa (OR74A)
NCU09231	NCU09231.7	9473593	9474876	-	supercont10.1 of Neurospora crassa (OR74A)
NCU02951	NCU02951.7	8606495	8607241	-	supercont10.1 of Neurospora crassa (OR74A)
NCU03531	NCU03531.7	341952	342800	+	supercont10.2 of Neurospora crassa (OR74A)
NCU08629	NCU08629.7	9647616	9649735	+	supercont10.1 of Neurospora crassa (OR74A)
NCU06193	NCU06193.7	1851488	1853214	+	supercont10.3 of Neurospora crassa (OR74A)
NCU08965	NCU08965.7	5854169	5856816	+	supercont10.5 of Neurospora crassa (OR74A)
NCU02325	NCU02325.7	1345433	1347816	-	supercont10.7 of Neurospora crassa (OR74A)
NCU11398	NCU08981.7	4126866	4128939	+	supercont10.3 of Neurospora crassa (OR74A)
NCU11905	NCU05401.7	579459	581421	+	supercont10.2 of Neurospora crassa (OR74A)
NCU07556	NCU07556.7	4371465	4377756	-	supercont10.3 of Neurospora crassa (OR74A)
NCU07594	NCU07594.7	182437	183928	-	supercont10.4 of Neurospora crassa (OR74A)
NCU07788	NCU07788.7	287303	290237	-	supercont10.5 of Neurospora crassa (OR74A)
NCU03748	NCU03748.7	2288650	2290681	+	supercont10.5 of Neurospora crassa (OR74A)
NCU07623	NCU07623.7	307996	309661	+	supercont10.4 of Neurospora crassa (OR74A)
NCU01548	NCU01548.7	3116771	3117656	-	supercont10.2 of Neurospora crassa (OR74A)
NCU04838	NCU04838.7	1009912	1015141	+	supercont10.6 of Neurospora crassa (OR74A)
NCU02534	NCU02534.7	2648846	2651151	+	supercont10.1 of Neurospora crassa (OR74A)
NCU12138	NCU05116.7	2479887	2481506	+	supercont10.6 of Neurospora crassa (OR74A)
NCU06714	NCU06714.7	4361876	4364731	-	supercont10.5 of Neurospora crassa (OR74A)
NCU07558	NCU07558.7	4363246	4365690	-	supercont10.3 of Neurospora crassa (OR74A)
NCU08634	NCU08634.7	9664598	9666566	+	supercont10.1 of Neurospora crassa (OR74A)
NCU09802	NCU09802.7	4095695	4096845	-	supercont10.1 of Neurospora crassa (OR74A)
NCU09258	NCU09258.7	9379736	9382838	-	supercont10.1 of Neurospora crassa (OR74A)
NCU10276	NCU10276.7	5036458	5038646	+	supercont10.3 of Neurospora crassa (OR74A)
NCU11046	NCU11046.7	699602	700782	-	supercont10.5 of Neurospora crassa (OR74A)
NCU02227	NCU02227.7	988109	989947	+	supercont10.7 of Neurospora crassa (OR74A)
NCU12143	NCU05111.7	2704808	2706330	+	supercont10.6 of Neurospora crassa (OR74A)
NCU00015	NCU00015.7	2286326	2288146	-	supercont10.3 of Neurospora crassa (OR74A)
NCU12149	NCU05001.7	3250786	3253025	-	supercont10.6 of Neurospora crassa (OR74A)
NCU06428	NCU06428.7	1381637	1384614	-	supercont10.3 of Neurospora crassa (OR74A)
NCU07824	NCU07824.7	987076	988590	+	supercont10.3 of Neurospora crassa (OR74A)
NCU04021	NCU04021.7	2155299	2160287	-	supercont10.6 of Neurospora crassa (OR74A)
NCU10610	NCU10610.7	701418	703114	-	supercont10.5 of Neurospora crassa (OR74A)
NCU02809	NCU02809.7	9050752	9053570	-	supercont10.1 of Neurospora crassa (OR74A)
NCU01127	NCU01127.7	2979218	2980081	+	supercont10.5 of Neurospora crassa (OR74A)
NCU08112	NCU08112.7	311541	313460	+	supercont10.1 of Neurospora crassa (OR74A)
NCU08001	NCU08001.7	3876977	3880470	+	supercont10.4 of Neurospora crassa (OR74A)
NCU12141	NCU05113.7	2595646	2596101	+	supercont10.6 of Neurospora crassa (OR74A)
NCU00349	NCU00349.7	3538850	3540607	+	supercont10.3 of Neurospora crassa (OR74A)
NCU11952	NCU08412.7	2396560	2397835	-	supercont10.2 of Neurospora crassa (OR74A)
NCU09143	NCU09143.7	5476822	5478213	+	supercont10.1 of Neurospora crassa (OR74A)
NCU11440	NCU16320.7	974675	976129	-	supercont10.1 of Neurospora crassa (OR74A)
NCU00870	NCU00870.7	6907483	6909986	-	supercont10.1 of Neurospora crassa (OR74A)
NCU02094	NCU02094.7	1313486	1315839	+	supercont10.1 of Neurospora crassa (OR74A)
NCU00189	NCU00189.7	2940734	2941293	+	supercont10.3 of Neurospora crassa (OR74A)
NCU10031	NCU10031.7	9770841	9772169	-	supercont10.1 of Neurospora crassa (OR74A)
NCU09582	NCU09582.7	3322117	3323079	-	supercont10.7 of Neurospora crassa (OR74A)
NCU06353	NCU06353.7	2809289	2810268	-	supercont10.4 of Neurospora crassa (OR74A)
NCU11431	NCU16306.7	226935	227879	-	supercont10.1 of Neurospora crassa (OR74A)
NCU06045	NCU06045.7	2265791	2267164	-	supercont10.7 of Neurospora crassa (OR74A)
NCU01093	NCU01093.7	2889978	2891346	-	supercont10.5 of Neurospora crassa (OR74A)
NCU00274	NCU00274.7	3259404	3268638	+	supercont10.3 of Neurospora crassa (OR74A)
NCU04460	NCU04460.7	3281550	3283289	-	supercont10.4 of Neurospora crassa (OR74A)
NCU11102	NCU11102.7	5735963	5737621	-	supercont10.5 of Neurospora crassa (OR74A)
NCU02972	NCU02972.7	8540280	8543062	-	supercont10.1 of Neurospora crassa (OR74A)
NCU07082	NCU07082.7	218498	221561	-	supercont10.6 of Neurospora crassa (OR74A)
NCU01873	NCU01873.7	2190761	2192828	-	supercont10.1 of Neurospora crassa (OR74A)
NCU01858	NCU01858.7	2235326	2236713	+	supercont10.1 of Neurospora crassa (OR74A)
NCU08624	NCU08624.7	9633236	9634735	-	supercont10.1 of Neurospora crassa (OR74A)
NCU09644	NCU09644.7	51881	55017	+	supercont10.4 of Neurospora crassa (OR74A)
NCU05642	NCU05642.7	1227175	1230168	-	supercont10.6 of Neurospora crassa (OR74A)
NCU09492	NCU09492.7	4458486	4465976	+	supercont10.2 of Neurospora crassa (OR74A)
NCU11876	NCU16718.7	4467880	4469161	+	supercont10.3 of Neurospora crassa (OR74A)
NCU11118	NCU11118.7	4337529	4338494	-	supercont10.5 of Neurospora crassa (OR74A)
NCU01916	NCU01916.7	2042778	2044089	+	supercont10.1 of Neurospora crassa (OR74A)
NCU03778	NCU03778.7	2383992	2385402	+	supercont10.5 of Neurospora crassa (OR74A)
NCU12011	NCU17224.7	509207	511790	+	supercont10.7 of Neurospora crassa (OR74A)
NCU09048	NCU09048.7	3804147	3808082	-	supercont10.7 of Neurospora crassa (OR74A)
NCU08453	NCU08453.7	3581645	3582529	+	supercont10.2 of Neurospora crassa (OR74A)
NCU00993	NCU00993.7	6463811	6466194	+	supercont10.1 of Neurospora crassa (OR74A)
NCU12158	NCU05114.7	3703028	3704422	+	supercont10.6 of Neurospora crassa (OR74A)
NCU09923	NCU09923.7	5279590	5281914	+	supercont10.4 of Neurospora crassa (OR74A)
NCU00718	NCU00718.7	7439857	7440218	-	supercont10.1 of Neurospora crassa (OR74A)
NCU06246	NCU06246.7	2031396	2033319	-	supercont10.3 of Neurospora crassa (OR74A)
NCU07348	NCU07348.7	6283289	6284671	-	supercont10.1 of Neurospora crassa (OR74A)
NCU07514	NCU07514.7	4554071	4558095	+	supercont10.3 of Neurospora crassa (OR74A)
NCU11050	NCU11050.7	3667233	3671339	-	supercont10.4 of Neurospora crassa (OR74A)
NCU05142	NCU05142.7	3589518	3590938	+	supercont10.6 of Neurospora crassa (OR74A)
NCU02113	NCU02113.7	1238106	1239873	-	supercont10.1 of Neurospora crassa (OR74A)
NCU06731	NCU06731.7	4423644	4426081	-	supercont10.5 of Neurospora crassa (OR74A)
NCU01066	NCU01066.7	2812718	2815064	-	supercont10.5 of Neurospora crassa (OR74A)
NCU03067	NCU03067.7	4417208	4419621	-	supercont10.1 of Neurospora crassa (OR74A)
NCU01072	NCU01072.7	2831046	2832250	-	supercont10.5 of Neurospora crassa (OR74A)
NCU02549	NCU02549.7	2694586	2696636	-	supercont10.1 of Neurospora crassa (OR74A)
NCU07161	NCU07161.7	6385615	6386419	-	supercont10.5 of Neurospora crassa (OR74A)
NCU03836	NCU03836.7	2569105	2570896	+	supercont10.5 of Neurospora crassa (OR74A)
NCU07188	NCU07188.7	6299437	6300957	+	supercont10.5 of Neurospora crassa (OR74A)
NCU02830	NCU02830.7	8968549	8973598	+	supercont10.1 of Neurospora crassa (OR74A)
NCU04996	NCU04996.7	4149049	4149905	-	supercont10.6 of Neurospora crassa (OR74A)
NCU07195	NCU07195.7	6272816	6273952	-	supercont10.5 of Neurospora crassa (OR74A)
NCU08548	NCU08548.7	4964708	4965894	-	supercont10.3 of Neurospora crassa (OR74A)
NCU11686	NCU16741.7	6330080	6331980	-	supercont10.5 of Neurospora crassa (OR74A)
NCU09821	NCU09821.7	4160750	4162445	-	supercont10.1 of Neurospora crassa (OR74A)
NCU06096	NCU06096.7	2445497	2446571	-	supercont10.7 of Neurospora crassa (OR74A)
NCU02903	NCU02903.7	8741564	8743405	+	supercont10.1 of Neurospora crassa (OR74A)
NCU04223	NCU04223.7	5264947	5267661	-	supercont10.5 of Neurospora crassa (OR74A)
NCU03396	NCU03396.7	857266	859810	-	supercont10.2 of Neurospora crassa (OR74A)
NCU04153	NCU04153.7	5015280	5016985	+	supercont10.5 of Neurospora crassa (OR74A)
NCU01450	NCU01450.7	4701479	4702347	-	supercont10.5 of Neurospora crassa (OR74A)
NCU09389	NCU09389.7	2986546	2987152	-	supercont10.7 of Neurospora crassa (OR74A)
NCU12034	NCU12034.7	1674364	1675431	-	supercont10.7 of Neurospora crassa (OR74A)
NCU10696	NCU10696.7	155789	156779	+	supercont10.1 of Neurospora crassa (OR74A)
NCU08370	NCU08370.7	5596843	5599311	-	supercont10.1 of Neurospora crassa (OR74A)
NCU04884	NCU04884.7	622049	623387	-	supercont10.4 of Neurospora crassa (OR74A)
NCU01408	NCU01408.7	3955965	3958516	+	supercont10.5 of Neurospora crassa (OR74A)
NCU05208	NCU05208.7	5745602	5747278	+	supercont10.4 of Neurospora crassa (OR74A)
NCU03008	NCU03008.7	8460052	8460809	+	supercont10.1 of Neurospora crassa (OR74A)
NCU05096	NCU05096.7	3751174	3752463	-	supercont10.6 of Neurospora crassa (OR74A)
NCU04885	NCU04885.7	624228	628483	-	supercont10.4 of Neurospora crassa (OR74A)
NCU00384	NCU00384.7	3663637	3664072	-	supercont10.3 of Neurospora crassa (OR74A)
NCU05606	NCU05606.7	1352575	1354821	-	supercont10.6 of Neurospora crassa (OR74A)
NCU00271	NCU00271.7	3245169	3245956	+	supercont10.3 of Neurospora crassa (OR74A)
NCU08792	NCU08792.7	5106888	5109413	-	supercont10.3 of Neurospora crassa (OR74A)
NCU07583	NCU07583.7	149097	150443	+	supercont10.4 of Neurospora crassa (OR74A)
NCU03554	NCU03554.7	246432	248423	+	supercont10.2 of Neurospora crassa (OR74A)
NCU01044	NCU01044.7	2750351	2753035	+	supercont10.5 of Neurospora crassa (OR74A)
NCU01296	NCU01296.7	3561454	3563077	+	supercont10.5 of Neurospora crassa (OR74A)
NCU10106	NCU10106.7	3490861	3491899	+	supercont10.4 of Neurospora crassa (OR74A)
NCU05190	NCU05190.7	5809929	5810747	+	supercont10.4 of Neurospora crassa (OR74A)
NCU07254	NCU07254.7	4616506	4617824	-	supercont10.4 of Neurospora crassa (OR74A)
NCU00018	NCU00018.7	2306378	2309701	+	supercont10.3 of Neurospora crassa (OR74A)
NCU00717	NCU00717.7	7446695	7450063	+	supercont10.1 of Neurospora crassa (OR74A)
NCU07989	NCU07989.7	3824177	3825117	+	supercont10.4 of Neurospora crassa (OR74A)
NCU11519	NCU16421.7	6050368	6051530	+	supercont10.1 of Neurospora crassa (OR74A)
NCU00473	NCU00473.7	3980363	3981889	+	supercont10.3 of Neurospora crassa (OR74A)
NCU01930	NCU01930.7	1982978	1984500	+	supercont10.1 of Neurospora crassa (OR74A)
NCU00903	NCU00903.7	6812541	6814226	-	supercont10.1 of Neurospora crassa (OR74A)
NCU01143	NCU01143.7	3009819	3014196	-	supercont10.5 of Neurospora crassa (OR74A)
NCU02487	NCU02487.7	2485268	2487530	+	supercont10.1 of Neurospora crassa (OR74A)
NCU01751	NCU01751.7	2549024	2552117	-	supercont10.2 of Neurospora crassa (OR74A)
NCU11282	NCU11282.7	4192551	4195401	+	supercont10.4 of Neurospora crassa (OR74A)
NCU09289	NCU09289.7	4191519	4192340	+	supercont10.7 of Neurospora crassa (OR74A)
NCU00939	NCU00939.7	6650950	6656645	-	supercont10.1 of Neurospora crassa (OR74A)
NCU02900	NCU02900.7	8749561	8750005	-	supercont10.1 of Neurospora crassa (OR74A)
NCU02333	NCU02333.7	1379554	1381161	+	supercont10.7 of Neurospora crassa (OR74A)
NCU04961	NCU04961.7	866160	866800	-	supercont10.4 of Neurospora crassa (OR74A)
NCU06970	NCU06970.7	4701406	4704156	+	supercont10.4 of Neurospora crassa (OR74A)
NCU09383	NCU09383.7	3511088	3511891	-	supercont10.1 of Neurospora crassa (OR74A)
NCU01424	NCU01424.7	4024096	4025458	+	supercont10.5 of Neurospora crassa (OR74A)
NCU08939	NCU08939.7	5768297	5770600	+	supercont10.5 of Neurospora crassa (OR74A)
NCU09015	NCU09015.7	4244062	4246799	+	supercont10.3 of Neurospora crassa (OR74A)
NCU07705	NCU07705.7	2149157	2153337	-	supercont10.4 of Neurospora crassa (OR74A)
NCU01651	NCU01651.7	2807650	2809998	-	supercont10.2 of Neurospora crassa (OR74A)
NCU05928	NCU05928.7	3436984	3438174	+	supercont10.6 of Neurospora crassa (OR74A)
NCU10907	NCU10907.7	3351809	3354229	-	supercont10.2 of Neurospora crassa (OR74A)
NCU01312	NCU01312.7	3617103	3618747	-	supercont10.5 of Neurospora crassa (OR74A)
NCU03532	NCU03532.7	340703	341230	+	supercont10.2 of Neurospora crassa (OR74A)
NCU07830	NCU07830.7	1000739	1001920	+	supercont10.3 of Neurospora crassa (OR74A)
NCU08313	NCU08313.7	2444062	2445223	+	supercont10.4 of Neurospora crassa (OR74A)
NCU00917	NCU00917.7	6741086	6743996	-	supercont10.1 of Neurospora crassa (OR74A)
NCU08157	NCU08157.7	683408	686131	+	supercont10.7 of Neurospora crassa (OR74A)
NCU05134	NCU05134.7	3612975	3613899	+	supercont10.6 of Neurospora crassa (OR74A)
NCU00517	NCU00517.7	8147689	8150581	+	supercont10.1 of Neurospora crassa (OR74A)
NCU02857	NCU02857.7	8895890	8897968	-	supercont10.1 of Neurospora crassa (OR74A)
NCU03294	NCU03294.7	5215274	5216889	-	supercont10.1 of Neurospora crassa (OR74A)
NCU00436	NCU00436.7	3853708	3856950	+	supercont10.3 of Neurospora crassa (OR74A)
NCU01494	NCU01494.7	3286089	3288363	+	supercont10.2 of Neurospora crassa (OR74A)
NCU08929	NCU08929.7	5741297	5742082	+	supercont10.5 of Neurospora crassa (OR74A)
NCU08655	NCU08655.7	4207351	4208361	+	supercont10.4 of Neurospora crassa (OR74A)
NCU09718	NCU09718.7	2885409	2886672	+	supercont10.7 of Neurospora crassa (OR74A)
NCU12124	NCU17126.7	3137829	3138552	-	supercont10.6 of Neurospora crassa (OR74A)
NCU09364	NCU09364.7	3587002	3588207	+	supercont10.1 of Neurospora crassa (OR74A)
NCU09032	NCU09032.7	3857964	3860925	+	supercont10.7 of Neurospora crassa (OR74A)
NCU03121	NCU03121.7	4632331	4635545	+	supercont10.1 of Neurospora crassa (OR74A)
NCU04143	NCU04143.7	4979056	4982051	-	supercont10.5 of Neurospora crassa (OR74A)
NCU04874	NCU04874.7	578396	579678	+	supercont10.4 of Neurospora crassa (OR74A)
NCU03420	NCU03420.7	782097	782563	+	supercont10.2 of Neurospora crassa (OR74A)
NCU06018	NCU06018.7	2182577	2184162	+	supercont10.7 of Neurospora crassa (OR74A)
NCU11882	NCU16503.7	4809123	4810856	+	supercont10.3 of Neurospora crassa (OR74A)
NCU03623	NCU03623.7	1884121	1885118	-	supercont10.5 of Neurospora crassa (OR74A)
NCU08783	NCU08783.7	5135614	5136906	-	supercont10.3 of Neurospora crassa (OR74A)
NCU04425	NCU04425.7	3406592	3409897	+	supercont10.4 of Neurospora crassa (OR74A)
NCU03382	NCU03382.7	898435	899549	+	supercont10.2 of Neurospora crassa (OR74A)
NCU03461	NCU03461.7	636290	639301	-	supercont10.2 of Neurospora crassa (OR74A)
NCU11507	NCU16402.7	5369789	5371997	-	supercont10.1 of Neurospora crassa (OR74A)
NCU03113	NCU03113.7	4601418	4604695	-	supercont10.1 of Neurospora crassa (OR74A)
NCU09503	NCU09503.7	100307	103696	+	supercont10.3 of Neurospora crassa (OR74A)
NCU02568	NCU02568.7	2756023	2757533	-	supercont10.1 of Neurospora crassa (OR74A)
NCU06624	NCU06624.7	1838351	1841518	+	supercont10.4 of Neurospora crassa (OR74A)
NCU01994	NCU01994.7	1746698	1748840	+	supercont10.1 of Neurospora crassa (OR74A)
NCU06230	NCU06230.7	1980949	1984408	+	supercont10.3 of Neurospora crassa (OR74A)
NCU08686	NCU08686.7	4099931	4102214	-	supercont10.4 of Neurospora crassa (OR74A)
NCU02736	NCU02736.7	3370379	3372431	+	supercont10.1 of Neurospora crassa (OR74A)
NCU02837	NCU02837.7	8954321	8956174	+	supercont10.1 of Neurospora crassa (OR74A)
NCU01819	NCU01819.7	2305362	2307545	-	supercont10.2 of Neurospora crassa (OR74A)
NCU02204	NCU02204.7	913675	914824	-	supercont10.7 of Neurospora crassa (OR74A)
NCU02368	NCU02368.7	1525182	1527573	+	supercont10.7 of Neurospora crassa (OR74A)
NCU00904	NCU00904.7	6810431	6812639	+	supercont10.1 of Neurospora crassa (OR74A)
NCU11851	NCU16683.7	3713038	3714430	-	supercont10.3 of Neurospora crassa (OR74A)
NCU00035	NCU00035.7	2357856	2360022	-	supercont10.3 of Neurospora crassa (OR74A)
NCU06260	NCU06260.7	2104073	2105650	+	supercont10.3 of Neurospora crassa (OR74A)
NCU04017	NCU04017.7	2175920	2178102	+	supercont10.6 of Neurospora crassa (OR74A)
NCU00322	NCU00322.7	3447698	3448734	-	supercont10.3 of Neurospora crassa (OR74A)
NCU06930	NCU06930.7	3448410	3455344	-	supercont10.7 of Neurospora crassa (OR74A)
NCU06656	NCU06656.7	4145313	4149137	-	supercont10.5 of Neurospora crassa (OR74A)
NCU00173	NCU00173.7	2898327	2899727	-	supercont10.3 of Neurospora crassa (OR74A)
NCU03713	NCU03713.7	2176951	2179205	-	supercont10.5 of Neurospora crassa (OR74A)
NCU09160	NCU09160.7	205105	206480	-	supercont10.3 of Neurospora crassa (OR74A)
NCU05494	NCU05494.7	1735831	1736881	-	supercont10.6 of Neurospora crassa (OR74A)
NCU12146	NCU10911.7	3087616	3088834	-	supercont10.6 of Neurospora crassa (OR74A)
NCU09762	NCU09762.7	4309382	4310944	+	supercont10.2 of Neurospora crassa (OR74A)
NCU08222	NCU08222.7	4680233	4682796	+	supercont10.3 of Neurospora crassa (OR74A)
NCU01465	NCU01465.7	4647694	4652410	-	supercont10.5 of Neurospora crassa (OR74A)
NCU00457	NCU00457.7	3924557	3927590	-	supercont10.3 of Neurospora crassa (OR74A)
NCU05012	NCU05012.7	4080368	4082314	-	supercont10.6 of Neurospora crassa (OR74A)
NCU04226	NCU04226.7	5276683	5277776	+	supercont10.5 of Neurospora crassa (OR74A)
NCU11918	NCU16552.7	1049668	1051392	-	supercont10.2 of Neurospora crassa (OR74A)
NCU08762	NCU08762.7	5237088	5238885	-	supercont10.3 of Neurospora crassa (OR74A)
NCU05132	NCU05132.7	3620657	3629535	+	supercont10.6 of Neurospora crassa (OR74A)
NCU00707	NCU00707.7	7482141	7483632	-	supercont10.1 of Neurospora crassa (OR74A)
NCU05063	NCU05063.7	3870330	3872030	-	supercont10.6 of Neurospora crassa (OR74A)
NCU08545	NCU08545.7	4971191	4972890	-	supercont10.3 of Neurospora crassa (OR74A)
NCU01472	NCU01472.7	4623493	4628245	-	supercont10.5 of Neurospora crassa (OR74A)
NCU07087	NCU07087.7	203459	204202	-	supercont10.6 of Neurospora crassa (OR74A)
NCU04295	NCU04295.7	5533879	5536310	-	supercont10.5 of Neurospora crassa (OR74A)
NCU03466	NCU03466.7	610629	613576	+	supercont10.2 of Neurospora crassa (OR74A)
NCU09066	NCU09066.7	739987	740998	-	supercont10.1 of Neurospora crassa (OR74A)
NCU05814	NCU05814.7	334771	336780	+	supercont10.7 of Neurospora crassa (OR74A)
NCU11108	NCU11108.7	1541772	1543184	-	supercont10.2 of Neurospora crassa (OR74A)
NCU03843	NCU03843.7	2584083	2586225	-	supercont10.5 of Neurospora crassa (OR74A)
NCU01023	NCU01023.7	2705105	2706507	-	supercont10.5 of Neurospora crassa (OR74A)
NCU03856	NCU03856.7	2732205	2732521	-	supercont10.6 of Neurospora crassa (OR74A)
NCU02819	NCU02819.7	9007984	9010326	+	supercont10.1 of Neurospora crassa (OR74A)
NCU12066	NCU07114.7	3582701	3583207	+	supercont10.7 of Neurospora crassa (OR74A)
NCU03581	NCU03581.7	149767	150765	-	supercont10.2 of Neurospora crassa (OR74A)
NCU09378	NCU09378.7	3520960	3522211	-	supercont10.1 of Neurospora crassa (OR74A)
NCU03697	NCU03697.7	2109020	2111665	-	supercont10.5 of Neurospora crassa (OR74A)
NCU05939	NCU05939.7	3383230	3386178	-	supercont10.6 of Neurospora crassa (OR74A)
NCU01475	NCU01475.7	4615396	4616487	-	supercont10.5 of Neurospora crassa (OR74A)
NCU09037	NCU09037.7	3841513	3843543	-	supercont10.7 of Neurospora crassa (OR74A)
